# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_exon_region	variants_effect_splice_region_variant	variants_effect_upstream_gene_variant
WD_1175	WD_1175	WD_1175	protein_coding	2232	1084	0	0	1148
WD_1176	WD_1176	WD_1176	protein_coding	2284	1076	136	0	1072
WD_1178	WD_1178	WD_1178	protein_coding	2497	1436	45	0	1016
WD_1179	WD_1179	WD_1179	protein_coding	2736	976	216	0	1544
WD_1181	WD_1181	WD_1181	protein_coding	2650	1088	18	0	1544
WD_1184	WD_1184	WD_1184	protein_coding	2948	1696	18	0	1234
WD_1185	WD_1185	WD_1185	protein_coding	2865	1622	27	0	1216
WD_1187	WD_1187	WD_1187	protein_coding	3139	1640	27	0	1472
WD_1188	WD_1188	WD_1188	protein_coding	3504	1472	356	0	1676
WD_1191	WD_1191	WD_1191	protein_coding	3490	1532	306	0	1652
WD_1195	WD_1195	WD_1195	protein_coding	3071	1220	9	0	1842
WD_1196	WD_1196	WD_1196	protein_coding	3017	1236	63	0	1718
WD_1198	WD_1198	WD_1198	protein_coding	3103	1436	35	0	1632
WD_1199	WD_1199	WD_1199	protein_coding	3534	1450	432	0	1652
WD_1203	WD_1203	WD_1203	protein_coding	3039	1396	9	0	1634
WD_1204	WD_1204	WD_1204	protein_coding	3266	1600	158	0	1508
WD_1205	WD_1205	WD_1205	protein_coding	3086	1470	126	0	1490
WD_1206	WD_1206	WD_1206	protein_coding	3104	1452	54	0	1598
WD_1207	WD_1207	WD_1207	protein_coding	2870	1544	0	0	1326
WD_1211	WD_1211	WD_1211	protein_coding	2682	1488	18	0	1176
WD_1212	WD_1212	WD_1212	protein_coding	2754	1544	126	0	1084
WD_1213	WD_1213	WD_1213	protein_coding	3216	1616	198	0	1402
WD_1214	WD_1214	WD_1214	protein_coding	3070	1436	302	0	1332
WD_1215	WD_1215	WD_1215	protein_coding	2884	1514	60	0	1310
WD_1216	WD_1216	WD_1216	protein_coding	3023	1820	45	0	1158
WD_1217	WD_1217	WD_1217	protein_coding	2774	1672	0	0	1102
WD_1218	WD_1218	WD_1218	protein_coding	2768	1436	108	0	1224
WD_1219	WD_1219	WD_1219	protein_coding	2818	1350	52	0	1416
WD_1220	WD_1220	WD_1220	protein_coding	3000	1416	172	0	1412
WD_1222	WD_1222	WD_1222	protein_coding	2832	1040	42	0	1750
WD_1223	WD_1223	WD_1223	protein_coding	2919	1186	43	0	1690
WD_1224	WD_1224	WD_1224	protein_coding	2661	1200	45	0	1416
WD_1225	WD_1225	WD_1225	protein_coding	2541	1146	9	0	1386
WD_1226	WD_1226	WD_1226	protein_coding	2594	1182	0	0	1412
WD_1227	WD_1227	WD_1227	protein_coding	2397	1058	9	0	1330
WD_1228	WD_1228	WD_1228	protein_coding	2349	1168	33	0	1148
WD_1229	WD_1229	WD_1229	protein_coding	2276	1272	0	0	1004
WD_1230	WD_1230	WD_1230	protein_coding	2699	1378	45	0	1276
WD_1231	WD_1231	WD_1231	protein_coding	2657	1484	27	0	1146
WD_1232	WD_1232	WD_1232	protein_coding	2846	1646	18	0	1182
WD_1235	WD_1235	WD_1235	protein_coding	3121	1768	9	0	1344
WD_1236	WD_1236	WD_1236	protein_coding	3008	1612	124	0	1272
WD_1238	WD_1238	WD_1238	protein_coding	3349	1548	63	0	1738
WD_1240	WD_1240	WD_1240	protein_coding	3149	1476	45	0	1628
WD_1241	WD_1241	WD_1241	protein_coding	2980	1458	0	0	1522
WD_1242	WD_1242	WD_1242	protein_coding	3124	1504	178	0	1442
WD_1243	WD_1243	WD_1243	protein_coding	3140	1472	162	0	1506
WD_1244	WD_1244	WD_1244	protein_coding	3066	1526	48	0	1492
WD_1245	WD_1245	WD_1245	protein_coding	3172	1572	246	0	1354
WD_1246	WD_1246	WD_1246	protein_coding	2915	1358	45	0	1512
WD_1248	WD_1248	WD_1248	protein_coding	2879	1358	45	0	1476
WD_1249	WD_1249	WD_1249	protein_coding	3392	1496	530	0	1366
WD_1250	WD_1250	WD_1250	protein_coding	2920	1446	106	0	1368
WD_1252	WD_1252	WD_1252	protein_coding	2810	1368	166	0	1276
WD_1254	WD_1254	WD_1254	protein_coding	3140	1306	412	0	1422
WD_1255	WD_1255	WD_1255	protein_coding	3038	1386	90	0	1562
WD_1257	WD_1257	WD_1257	protein_coding	2900	1518	68	0	1314
WD_1260	WD_1260	WD_1260	protein_coding	2702	1298	0	0	1404
WD_1261	WD_1261	WD_1261	protein_coding	2700	1156	0	0	1544
WD_1262	WD_1262	WD_1262	protein_coding	2709	1138	27	0	1544
WD_1264	WD_1264	WD_1264	protein_coding	2654	1152	18	0	1484
WD_1266	WD_1266	WD_1266	protein_coding	2708	1192	72	0	1444
WD_1267	WD_1267	WD_1267	protein_coding	2488	1190	0	0	1298
WD_1268	WD_1268	WD_1268	protein_coding	2570	1228	44	0	1298
WD_1269	WD_1269	WD_1269	protein_coding	2706	1120	162	0	1424
WD_1270	WD_1270	WD_1270	protein_coding	2724	1192	0	0	1532
WD_1271	WD_1271	WD_1271	protein_coding	2824	1642	44	0	1138
WD_1272	WD_1272	WD_1272	protein_coding	2912	1706	18	0	1188
WD_1273	WD_1273	WD_1273	protein_coding	3236	1154	486	0	1596
WD_1275	WD_1275	WD_1275	protein_coding	2844	1354	54	0	1436
WD_1276	WD_1276	WD_1276	protein_coding	2854	1438	8	0	1408
WD_1278	WD_1278	WD_1278	protein_coding	3395	1556	153	0	1686
WD_1280	WD_1280	WD_1280	protein_coding	2736	1312	248	0	1176
WD_1283	WD_1283	WD_1283	protein_coding	3258	1470	358	0	1430
WD_1284	WD_1284	WD_1284	protein_coding	3077	1430	71	0	1576
WD_1287	WD_1287	WD_1287	protein_coding	3048	1260	54	0	1734
WD_1288	WD_1288	WD_1288	protein_coding	3136	1274	88	0	1774
WD_1289	WD_1289	WD_1289	protein_coding	3224	1288	140	0	1796
WD_1290	WD_1290	WD_1290	protein_coding	3208	1340	144	0	1724
WD_1291	WD_1291	WD_1291	protein_coding	3136	1706	18	0	1412
WD_1292	WD_1292	WD_1292	protein_coding	3183	1744	27	0	1412
WD_1293	WD_1293	WD_1293	protein_coding	3291	1798	45	0	1448
WD_1294	WD_1294	WD_1294	protein_coding	3302	1450	36	0	1816
WD_1297	WD_1297	WD_1297	protein_coding	3330	1780	268	0	1282
WD_1299	WD_1299	WD_1299	protein_coding	2730	1322	54	0	1354
WD_1301	WD_1301	WD_1301	protein_coding	2960	1446	36	0	1478
WD_1302	WD_1302	WD_1302	protein_coding	2962	1532	18	0	1412
WD_1304	WD_1304	WD_1304	protein_coding	3104	1354	90	0	1660
WD_1307	WD_1307	WD_1307	protein_coding	3352	1406	54	0	1892
WD_1308	WD_1308	WD_1308	protein_coding	3215	1784	9	0	1422
WD_1310	WD_1310	WD_1310	protein_coding	3920	1882	16	0	2022
WD_1311	WD_1311	WD_1311	protein_coding	4082	1878	280	0	1924
WD_1312	WD_1312	WD_1312	protein_coding	3976	1800	274	0	1902
WD_1313	WD_1313	WD_1313	protein_coding	3649	1940	9	0	1700
WD_1314	WD_1314	WD_1314	protein_coding	3665	1896	81	0	1688
WD_1315	WD_1315	WD_1315	protein_coding	3382	1608	144	0	1630
WD_1317	WD_1317	WD_1317	protein_coding	3442	1950	108	0	1384
WD_1320	WD_1320	WD_1320	protein_coding	2806	1324	1096	0	386
WD_1321	WD_1321	WD_1321	protein_coding	1727	208	9	0	1510
aceF	WD_1177	WD_1177	protein_coding	2410	1198	72	0	1140
acnA	WD_0105	WD_0105	protein_coding	3718	1524	810	0	1384
acpP	WD_1193	WD_1193	protein_coding	3225	1486	9	0	1730
acpS	WD_0814	WD_0814	protein_coding	2534	1130	70	0	1334
adk	WD_0661	WD_0661	protein_coding	3036	1468	196	0	1372
alaS	WD_0862	WD_0862	protein_coding	4008	1622	864	0	1522
argB	WD_0245	WD_0245	protein_coding	2712	1346	250	0	1116
argD	WD_0559	WD_0559	protein_coding	2844	1266	328	0	1250
argS	WD_0402	WD_0402	protein_coding	3376	1540	126	0	1710
asd	WD_0954	WD_0954	protein_coding	3014	1566	282	0	1166
aspC	WD_1029	WD_1029	protein_coding	2479	1058	71	0	1350
aspS	WD_0413	WD_0413	protein_coding	3142	1444	122	0	1576
atpA	WD_0655	WD_0655	protein_coding	3314	1386	532	0	1396
atpB	WD_0427	WD_0427	protein_coding	2666	1178	44	0	1444
atpD	WD_0203	WD_0203	protein_coding	3113	1254	61	0	1798
atpE	WD_0428	WD_0428	protein_coding	2579	1180	9	0	1390
atpG	WD_1233	WD_1233	protein_coding	2829	1726	45	0	1058
atpH	WD_0656	WD_0656	protein_coding	3134	1504	106	0	1524
bcp	WD_1285	WD_1285	protein_coding	2851	1486	9	0	1356
bfr	WD_1247	WD_1247	protein_coding	2793	1308	9	0	1476
carA	WD_0684	WD_0684	protein_coding	3234	1542	342	0	1350
carB	WD_1295	WD_1295	protein_coding	3075	1340	233	0	1502
ccmB	WD_1093	WD_1093	protein_coding	2872	1388	88	0	1396
ccmC	WD_0340	WD_0340	protein_coding	2432	1208	136	0	1088
ccmE	WD_0972	WD_0972	protein_coding	2591	1292	45	0	1254
cdsA	WD_0526	WD_0526	protein_coding	2824	1294	216	0	1314
clpA	WD_1237	WD_1237	protein_coding	3145	1508	135	0	1502
clpB	WD_0224	WD_0224	protein_coding	3580	1434	662	0	1484
clpP	WD_0319	WD_0319	protein_coding	2644	1362	142	0	1140
clpX	WD_0318	WD_0318	protein_coding	2794	1288	414	0	1092
coaD	WD_0524	WD_0524	protein_coding	2688	1314	18	0	1356
coxA	WD_0301	WD_0301	protein_coding	2536	1256	114	0	1166
coxB	WD_0300	WD_0300	protein_coding	2490	1352	62	0	1076
coxC	WD_0141	WD_0141	protein_coding	3017	1590	45	0	1382
ctaB	WD_0302	WD_0302	protein_coding	2692	1424	54	0	1214
ctrA	WD_0732	WD_0732	protein_coding	2768	1590	54	0	1124
cutA	WD_0828	WD_0828	protein_coding	2942	1562	52	0	1328
cydA	WD_0740	WD_0740	protein_coding	2870	1236	0	0	1634
cydB	WD_0741	WD_0741	protein_coding	3027	1248	101	0	1678
cysS	WD_0149	WD_0149	protein_coding	3320	1594	340	0	1386
dapA	WD_0775	WD_0775	protein_coding	2922	1506	42	0	1374
dapB	WD_0370	WD_0370	protein_coding	2486	1286	0	0	1200
dapD	WD_0714	WD_0714	protein_coding	3558	1948	36	0	1574
dapE	WD_0788	WD_0788	protein_coding	3037	1342	99	0	1596
dapF	WD_1208	WD_1208	protein_coding	2790	1420	98	0	1272
def	WD_0165	WD_0165	protein_coding	3260	1728	124	0	1408
dgkA	WD_1163	WD_1163	protein_coding	2820	1364	90	0	1366
dnaA	WD_0001	WD_0001	protein_coding	1452	1380	72	0	0
dnaB	WD_0354	WD_0354	protein_coding	3590	1366	432	0	1792
dnaE	WD_0780	WD_0780	protein_coding	3234	1578	216	0	1440
dnaG	WD_0348	WD_0348	protein_coding	3180	1092	586	0	1502
dnaJ	WD_0040	WD_0040	protein_coding	3096	1340	336	0	1420
dnaK	WD_0928	WD_0928	protein_coding	3264	1520	474	0	1270
dnaN	WD_1067	WD_1067	protein_coding	2610	1274	54	0	1282
dnaQ	WD_0108	WD_0108	protein_coding	2739	1194	61	0	1484
dnaX	WD_1060	WD_1060	protein_coding	2633	1374	81	0	1178
dprA	WD_0092	WD_0092	protein_coding	3276	1412	360	0	1504
dut	WD_0243	WD_0243	protein_coding	2688	1290	196	0	1202
dxr	WD_0992	WD_0992	protein_coding	3000	1696	54	0	1250
efp	WD_1281	WD_1281	protein_coding	2696	1382	144	0	1170
eno	WD_0494	WD_0494	protein_coding	3390	1470	368	0	1552
era	WD_0743	WD_0743	protein_coding	3046	1498	0	0	1548
fabD	WD_0869	WD_0869	protein_coding	3366	1738	316	0	1312
fabF	WD_1194	WD_1194	protein_coding	3078	1220	126	0	1732
fabG	WD_0650	WD_0650	protein_coding	2927	1502	27	0	1398
fabH	WD_0985	WD_0985	protein_coding	3026	1566	250	0	1210
fabI	WD_0085	WD_0085	protein_coding	2783	1486	89	0	1208
fabK	WD_1170	WD_1170	protein_coding	2665	1112	27	0	1526
fabZ	WD_1083	WD_1083	protein_coding	2760	1498	54	0	1208
fdx	WD_0846	WD_0846	protein_coding	3470	1842	36	0	1592
ffh	WD_1080	WD_1080	protein_coding	3132	1382	288	0	1462
fmt	WD_0866	WD_0866	protein_coding	3396	1684	62	0	1650
folA	WD_0884	WD_0884	protein_coding	3121	1570	45	0	1506
folC	WD_1052	WD_1052	protein_coding	3034	1536	394	0	1104
folD	WD_0555	WD_0555	protein_coding	2960	1222	178	0	1560
frr	WD_0529	WD_0529	protein_coding	2842	1226	152	0	1464
ftsA	WD_0166	WD_0166	protein_coding	2996	1298	80	8	1618
ftsH	WD_1253	WD_1253	protein_coding	3186	1300	490	0	1396
ftsY	WD_0888	WD_0888	protein_coding	3262	1460	394	0	1408
ftsZ	WD_0723	WD_0723	protein_coding	2833	1232	9	0	1592
fumC	WD_0492	WD_0492	protein_coding	3298	1394	408	0	1496
fusA	WD_0016	WD_0016	protein_coding	2917	1382	65	0	1470
gap	WD_0451	WD_0451	protein_coding	2354	1154	0	0	1200
gatA	WD_0505	WD_0505	protein_coding	2640	1388	98	0	1154
gatB	WD_0146	WD_0146	protein_coding	2708	1274	160	0	1274
gidA	WD_1009	WD_1009	protein_coding	3554	1214	754	0	1586
glmS	WD_0535	WD_0535	protein_coding	3165	1720	131	0	1314
glmU	WD_0133	WD_0133	protein_coding	2960	1436	90	0	1434
glnA	WD_1322	WD_1322	protein_coding	1698	1490	190	0	18
glpX	WD_0687	WD_0687	protein_coding	3420	1590	358	0	1472
gltA	WD_1151	WD_1151	protein_coding	3035	1566	71	0	1398
gltX	WD_0435	WD_0435	protein_coding	3070	1718	134	0	1218
gltX	WD_0778	WD_0778	protein_coding	3161	1814	89	0	1258
glyA	WD_1035	WD_1035	protein_coding	2457	1270	129	0	1058
glyQ	WD_0156	WD_0156	protein_coding	3156	1498	196	0	1462
glyS	WD_0155	WD_0155	protein_coding	3372	1440	610	0	1322
gmk	WD_0439	WD_0439	protein_coding	3266	1754	214	0	1298
gpsA	WD_0731	WD_0731	protein_coding	3050	1232	214	0	1604
greA	WD_0654	WD_0654	protein_coding	3124	1432	206	0	1486
groEL	WD_0307	WD_0307	protein_coding	3454	1326	602	0	1526
groES	WD_0308	WD_0308	protein_coding	3098	1466	124	0	1508
grpE	WD_0800	WD_0800	protein_coding	2392	1176	18	0	1198
gshb	WD_0322	WD_0322	protein_coding	2482	1292	0	0	1190
guaA	WD_0195	WD_0195	protein_coding	3578	1448	438	0	1692
guaB	WD_0089	WD_0089	protein_coding	3290	1414	548	0	1328
gyrA	WD_1202	WD_1202	protein_coding	3730	1454	916	0	1360
gyrB	WD_0112	WD_0112	protein_coding	2739	1250	85	0	1404
hemA	WD_1279	WD_1279	protein_coding	2765	1318	99	0	1348
hemB	WD_0158	WD_0158	protein_coding	3360	1346	286	0	1728
hemC	WD_0542	WD_0542	protein_coding	3482	1682	232	0	1568
hemE	WD_1028	WD_1028	protein_coding	2453	1146	45	0	1262
hemH	WD_1186	WD_1186	protein_coding	2878	1514	54	0	1310
hflC	WD_0832	WD_0832	protein_coding	2785	1378	63	0	1344
hflK	WD_0831	WD_0831	protein_coding	2873	1380	71	0	1422
hisS	WD_1076	WD_1076	protein_coding	2447	1312	135	0	1000
hscA	WD_0892	WD_0892	protein_coding	3324	1594	178	0	1552
hscB	WD_0891	WD_0891	protein_coding	3108	1502	0	0	1606
hslU	WD_1190	WD_1190	protein_coding	3236	1724	80	0	1432
hslV	WD_1189	WD_1189	protein_coding	3367	1788	35	9	1544
htpG	WD_1277	WD_1277	protein_coding	3093	1382	89	0	1622
htrA	WD_0833	WD_0833	protein_coding	2767	1360	99	0	1308
ileS	WD_0423	WD_0423	protein_coding	2939	1442	161	0	1336
infA	WD_0334	WD_0334	protein_coding	2742	1384	90	0	1268
infB	WD_1318	WD_1318	protein_coding	4088	1920	676	0	1492
infC	WD_0977	WD_0977	protein_coding	2956	1274	144	0	1538
iscS	WD_0997	WD_0997	protein_coding	3394	1512	414	0	1468
ispA	WD_1192	WD_1192	protein_coding	3414	1568	432	0	1414
ispB	WD_0799	WD_0799	protein_coding	2638	1298	52	0	1288
ispE	WD_0360	WD_0360	protein_coding	2835	1094	53	0	1688
ksgA	WD_0090	WD_0090	protein_coding	3214	1588	220	0	1406
lepA	WD_0477	WD_0477	protein_coding	3772	1384	648	0	1740
lepB	WD_0893	WD_0893	protein_coding	3234	1390	286	0	1558
leuS	WD_0060	WD_0060	protein_coding	2923	1254	233	0	1436
lgt	WD_0768	WD_0768	protein_coding	2577	1290	45	0	1242
ligA	WD_0776	WD_0776	protein_coding	3620	1380	360	0	1880
lipA	WD_0392	WD_0392	protein_coding	3183	1492	63	0	1628
lipB	WD_1014	WD_1014	protein_coding	3254	1804	0	0	1450
lon	WD_0317	WD_0317	protein_coding	3222	1284	770	0	1168
lpdA	WD_0325	WD_0325	protein_coding	2782	1090	438	0	1254
lpdA	WD_0751	WD_0751	protein_coding	3475	1614	153	0	1708
lspA	WD_0760	WD_0760	protein_coding	2708	1310	62	0	1336
lysC	WD_0960	WD_0960	protein_coding	2708	1416	54	0	1238
lysS	WD_0860	WD_0860	protein_coding	3248	1598	106	0	1544
lytB	WD_1274	WD_1274	protein_coding	2826	1562	54	0	1210
maeB	WD_0488	WD_0488	protein_coding	3135	1468	107	0	1560
maf	WD_0333	WD_0333	protein_coding	2868	1348	216	0	1304
map	WD_0167	WD_0167	protein_coding	2883	1234	45	0	1604
mdh	WD_1121	WD_1121	protein_coding	2984	1306	306	0	1372
metC	WD_0925	WD_0925	protein_coding	3096	1384	396	0	1316
metG	WD_0352	WD_0352	protein_coding	3085	1466	117	0	1502
metK	WD_0136	WD_0136	protein_coding	2952	1272	98	9	1582
mgtE	WD_0375	WD_0375	protein_coding	2810	1480	126	9	1204
miaA	WD_0822	WD_0822	protein_coding	2791	1580	63	0	1148
mpg	WD_1110	WD_1110	protein_coding	3050	1328	198	0	1524
mraW	WD_0170	WD_0170	protein_coding	2486	1132	18	0	1336
mraY	WD_1102	WD_1102	protein_coding	2780	1348	18	0	1414
mreB	WD_1258	WD_1258	protein_coding	2672	1376	52	0	1244
murA	WD_1197	WD_1197	protein_coding	3148	1362	62	0	1724
murB	WD_0541	WD_0541	protein_coding	3532	1750	250	0	1532
murC	WD_0495	WD_0495	protein_coding	3432	1532	428	0	1472
murD	WD_0849	WD_0849	protein_coding	3320	1454	106	0	1760
murE	WD_0924	WD_0924	protein_coding	3240	1446	424	0	1370
murF	WD_1128	WD_1128	protein_coding	3219	1762	113	0	1344
murG	WD_0323	WD_0323	protein_coding	2764	1202	232	0	1330
mutL	WD_0509	WD_0509	protein_coding	3070	1542	394	0	1134
mutL	WD_1306	WD_1306	protein_coding	3137	1860	151	0	1126
mutM	WD_1158	WD_1158	protein_coding	2892	1400	0	0	1492
mutS	WD_0190	WD_0190	protein_coding	3524	1254	828	0	1442
mviN	WD_1010	WD_1010	protein_coding	3175	1412	117	0	1646
ndk	WD_1183	WD_1183	protein_coding	2880	1252	90	0	1538
nlpD	WD_0059	WD_0059	protein_coding	2929	1414	27	0	1488
nrdA	WD_0197	WD_0197	protein_coding	3820	1478	606	0	1736
nrdB	WD_0212	WD_0212	protein_coding	3078	1260	360	0	1458
nth	WD_0789	WD_0789	protein_coding	3222	1596	230	0	1396
nuoA	WD_1124	WD_1124	protein_coding	2882	1436	34	0	1412
nuoB	WD_1123	WD_1123	protein_coding	2850	1390	198	0	1262
nuoC	WD_1122	WD_1122	protein_coding	2812	1368	198	0	1246
nuoD	WD_0560	WD_0560	protein_coding	2568	1208	90	0	1270
nuoE	WD_0734	WD_0734	protein_coding	3261	1668	27	0	1566
nuoG	WD_0160	WD_0160	protein_coding	3602	1434	620	0	1548
nuoI	WD_0980	WD_0980	protein_coding	3212	1608	126	0	1478
nuoJ	WD_0965	WD_0965	protein_coding	2708	1276	0	0	1432
nuoK	WD_0966	WD_0966	protein_coding	2710	1294	0	0	1416
nuoL	WD_0967	WD_0967	protein_coding	2868	1272	144	0	1452
nuoM	WD_0968	WD_0968	protein_coding	2722	1288	0	0	1434
nusA	WD_1319	WD_1319	protein_coding	3558	1734	324	0	1500
pccA	WD_0433	WD_0433	protein_coding	3648	1070	530	0	2048
pccB	WD_1157	WD_1157	protein_coding	3036	1632	106	0	1298
pdhA	WD_0416	WD_0416	protein_coding	3366	1676	318	0	1372
pdxH	WD_1159	WD_1159	protein_coding	3059	1364	125	0	1570
pdxJ	WD_0064	WD_0064	protein_coding	2933	1510	9	0	1414
pepA	WD_0054	WD_0054	protein_coding	3154	1580	126	0	1448
petA	WD_1201	WD_1201	protein_coding	2976	1380	162	0	1434
petB	WD_1071	WD_1071	protein_coding	2886	1472	324	0	1090
petC	WD_1070	WD_1070	protein_coding	2686	1452	234	0	1000
pgk	WD_1167	WD_1167	protein_coding	2782	1252	418	0	1112
pgm	WD_0868	WD_0868	protein_coding	2996	1278	144	0	1574
pgsA	WD_0487	WD_0487	protein_coding	3138	1524	216	0	1398
pheS	WD_0132	WD_0132	protein_coding	2887	1508	71	0	1308
pheT	WD_0425	WD_0425	protein_coding	3156	1190	910	0	1056
plsX	WD_0986	WD_0986	protein_coding	3034	1482	318	0	1234
pmbA	WD_1234	WD_1234	protein_coding	2895	1638	141	0	1116
pnp	WD_0906	WD_0906	protein_coding	3308	1536	98	0	1674
polA	WD_1003	WD_1003	protein_coding	3406	1432	796	0	1178
ppa	WD_1263	WD_1263	protein_coding	2723	1204	9	0	1510
ppdK	WD_0690	WD_0690	protein_coding	3734	1368	964	0	1402
ppnK	WD_0871	WD_0871	protein_coding	3188	1436	70	0	1682
prfA	WD_0247	WD_0247	protein_coding	2654	1292	72	0	1290
priA	WD_1200	WD_1200	protein_coding	2915	1488	135	0	1292
proS	WD_0813	WD_0813	protein_coding	2462	1252	36	0	1174
prsA	WD_0036	WD_0036	protein_coding	2892	1476	0	0	1416
pstB	WD_0371	WD_0371	protein_coding	2384	1156	116	0	1112
pth	WD_0175	WD_0175	protein_coding	2788	1436	54	0	1298
purA	WD_0337	WD_0337	protein_coding	2822	1398	266	0	1158
purB	WD_0786	WD_0786	protein_coding	3029	1234	125	0	1670
purC	WD_1023	WD_1023	protein_coding	3064	1350	0	0	1714
purD	WD_0029	WD_0029	protein_coding	3184	1398	72	0	1714
purE	WD_1305	WD_1305	protein_coding	3201	1998	9	0	1194
purF	WD_1109	WD_1109	protein_coding	2883	1526	9	0	1348
purH	WD_0867	WD_0867	protein_coding	3403	1766	79	0	1558
purK	WD_1142	WD_1142	protein_coding	3350	1554	72	0	1724
purM	WD_1024	WD_1024	protein_coding	3206	1552	246	0	1408
putA	WD_0103	WD_0103	protein_coding	4140	1672	938	0	1530
pyrB	WD_0895	WD_0895	protein_coding	3268	1408	198	0	1662
pyrC	WD_0230	WD_0230	protein_coding	3274	1486	450	0	1338
pyrD	WD_1239	WD_1239	protein_coding	3217	1404	63	0	1750
pyrE	WD_0228	WD_0228	protein_coding	2912	1488	144	0	1280
pyrF	WD_0461	WD_0461	protein_coding	2966	1466	192	0	1308
pyrG	WD_0468	WD_0468	protein_coding	3002	1296	114	0	1592
pyrH	WD_0530	WD_0530	protein_coding	2990	1272	214	0	1504
radA	WD_0887	WD_0887	protein_coding	2952	1516	0	0	1436
radC	WD_0357	WD_0357	protein_coding	3247	1754	45	0	1448
recA	WD_1050	WD_1050	protein_coding	3112	1536	402	0	1174
recF	WD_1286	WD_1286	protein_coding	3025	1790	25	0	1210
recG	WD_0824	WD_0824	protein_coding	2535	1404	71	0	1060
recJ	WD_0312	WD_0312	protein_coding	3552	1736	460	0	1356
recR	WD_1180	WD_1180	protein_coding	2648	960	198	0	1490
rho	WD_0795	WD_0795	protein_coding	3004	1342	444	0	1218
ribA	WD_0003	WD_0003	protein_coding	2261	1410	27	0	824
ribD	WD_0710	WD_0710	protein_coding	3100	1468	116	0	1516
ribE	WD_0130	WD_0130	protein_coding	2864	1214	144	0	1506
ribF	WD_0759	WD_0759	protein_coding	2772	1346	0	0	1426
ribH	WD_0238	WD_0238	protein_coding	2430	1344	36	0	1050
rimM	WD_1282	WD_1282	protein_coding	2834	1418	124	0	1292
rnhA	WD_0304	WD_0304	protein_coding	2658	1462	0	0	1196
rnhB	WD_1103	WD_1103	protein_coding	2652	1364	36	0	1252
rodA	WD_1108	WD_1108	protein_coding	2720	1506	62	0	1152
rpe	WD_0712	WD_0712	protein_coding	3366	1552	198	0	1616
rpl18	WD_0665	WD_0665	protein_coding	2746	1566	106	0	1074
rplA	WD_0021	WD_0021	protein_coding	2805	1346	9	0	1450
rplB	WD_0678	WD_0678	protein_coding	2920	1108	234	0	1578
rplC	WD_0681	WD_0681	protein_coding	3024	1200	144	0	1680
rplD	WD_0680	WD_0680	protein_coding	2990	1146	144	0	1700
rplE	WD_0669	WD_0669	protein_coding	2702	1448	90	0	1164
rplF	WD_0666	WD_0666	protein_coding	2846	1592	90	0	1164
rplI	WD_0783	WD_0783	protein_coding	3453	1612	27	0	1814
rplJ	WD_0022	WD_0022	protein_coding	2762	1340	42	0	1380
rplK	WD_0020	WD_0020	protein_coding	2812	1240	0	0	1572
rplL	WD_0023	WD_0023	protein_coding	2765	1398	9	0	1358
rplM	WD_0067	WD_0067	protein_coding	2836	1328	142	0	1366
rplN	WD_0671	WD_0671	protein_coding	2632	1320	88	0	1224
rplO	WD_0663	WD_0663	protein_coding	2758	1470	144	0	1144
rplP	WD_0674	WD_0674	protein_coding	2814	1304	126	0	1384
rplQ	WD_0657	WD_0657	protein_coding	3152	1440	176	0	1536
rplS	WD_1021	WD_1021	protein_coding	3348	1908	126	0	1314
rplT	WD_0865	WD_0865	protein_coding	3335	1722	17	0	1596
rplU	WD_0134	WD_0134	protein_coding	2908	1346	18	0	1544
rplV	WD_0676	WD_0676	protein_coding	2758	1144	108	0	1506
rplW	WD_0679	WD_0679	protein_coding	2832	1164	54	0	1614
rplX	WD_0670	WD_0670	protein_coding	2594	1340	86	0	1168
rpmA	WD_0135	WD_0135	protein_coding	2942	1380	0	0	1562
rpmB	WD_0391	WD_0391	protein_coding	3070	1458	0	0	1612
rpmC	WD_0673	WD_0673	protein_coding	2636	1286	54	0	1296
rpmF	WD_0987	WD_0987	protein_coding	2822	1534	72	0	1216
rpmG	WD_0930	WD_0930	protein_coding	2748	1360	0	0	1388
rpmH	WD_0201	WD_0201	protein_coding	2958	1734	54	0	1170
rpmI	WD_0864	WD_0864	protein_coding	3271	1666	27	0	1578
rpoA	WD_0658	WD_0658	protein_coding	3280	1512	214	0	1554
rpoBC	WD_0024	WD_0024	protein_coding	3285	1556	427	0	1302
rpoD	WD_1298	WD_1298	protein_coding	3424	1676	482	0	1266
rpoH	WD_1064	WD_1064	protein_coding	2668	1386	0	0	1282
rpoZ	WD_1303	WD_1303	protein_coding	3114	1376	84	0	1654
rpsB	WD_0532	WD_0532	protein_coding	3202	1334	248	0	1620
rpsC	WD_0675	WD_0675	protein_coding	2938	1252	144	0	1542
rpsD	WD_0388	WD_0388	protein_coding	2922	1428	26	0	1468
rpsE	WD_0664	WD_0664	protein_coding	2848	1560	198	0	1090
rpsG	WD_0015	WD_0015	protein_coding	2869	1450	33	0	1386
rpsH	WD_0667	WD_0667	protein_coding	2772	1536	90	0	1146
rpsI	WD_0066	WD_0066	protein_coding	2980	1380	162	0	1438
rpsJ	WD_0682	WD_0682	protein_coding	2956	1168	144	0	1644
rpsK	WD_0659	WD_0659	protein_coding	3064	1456	160	0	1448
